Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
75109-1,Star Wars,Buildable Figures,2015,Obi-Wan Kenobi,,83,19.99,24.99,29.99,,6.73419E+11,,1,19.51,15.87
75110-1,Star Wars,Buildable Figures,2015,Luke Skywalker,,83,19.99,19.99,24.99,,6.73419E+11,,1,19.38,12.65
75111-1,Star Wars,Buildable Figures,2015,Darth Vader,,160,24.99,29.99,39.99,,6.73419E+11,,1,22.49,15.71
75112-1,Star Wars,Buildable Figures,2015,General Grievous,,186,29.99,34.99,44.99,,6.73419E+11,,1,37.82,26.35
75113-1,Star Wars,Buildable Figures,2016,Rey,,84,14.99,19.99,24.99,,6.73419E+11,,1,11.81,12.56
75114-1,Star Wars,Buildable Figures,2016,First Order Stormtrooper,,81,14.99,19.99,24.99,,6.73419E+11,,1,16.73,10.57
75115-1,Star Wars,Buildable Figures,2016,Poe Dameron,,102,19.99,24.99,29.99,,6.73419E+11,,1,12.87,10.78
75116-1,Star Wars,Buildable Figures,2016,Finn,,98,19.99,24.99,29.99,,6.73419E+11,,1,12.07,8.4
75117-1,Star Wars,Buildable Figures,2016,Kylo Ren,,86,19.99,24.99,29.99,,6.73419E+11,,1,19.66,13
75118-1,Star Wars,Buildable Figures,2016,Captain Phasma,,82,19.99,24.99,29.99,,6.73419E+11,,1,21.63,13.08
75119-1,Star Wars,Buildable Figures,2016,Sergeant Jyn Erso,,104,19.99,24.99,29.99,,6.73419E+11,,1,8.93,
75120-1,Star Wars,Buildable Figures,2016,K-2SO,,169,19.99,24.99,29.99,,6.73419E+11,,1,14.72,9
75121-1,Star Wars,Buildable Figures,2016,Imperial Death Trooper,,106,19.99,24.99,29.99,,6.73419E+11,,1,14.09,8.98
75125-1,Star Wars,MicroFighters,2016,Resistance X-wing Fighter,1,87,8.99,9.99,12.99,,6.73419E+11,,1,10.14,5.89
75126-1,Star Wars,MicroFighters,2016,First Order Snowspeeder,1,91,8.99,9.99,12.99,,6.73419E+11,,1,8.48,7.36
75127-1,Star Wars,MicroFighters,2016,The Ghost,1,104,8.99,9.99,12.99,,6.73419E+11,,1,11.93,8.81
